id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2804904,Pacatuba,SE,0.454,0.514,195.47,0.58,57.79,29.42,8.48,7.86,2.2
2805000,Pedra Mole,SE,0.499,0.599,332.75,0.54,32.91,27.72,9.29,10.26,3.8
2805109,Pedrinhas,SE,0.486,0.568,273.91,0.52,39.87,26.65,8.74,6.66,3.3
2805208,Pinhão,SE,0.48,0.58,295.24,0.42,23.92,30.16,8.81,5.8,2.9
2805307,Pirambu,SE,0.515,0.558,257.65,0.53,43.42,20.03,8.49,9.57,2.8
2805406,Poço Redondo,SE,0.376,0.519,202.24,0.59,58.45,35.58,7.49,6.67,2.4
2805505,Poço Verde,SE,0.417,0.563,266.56,0.51,40.04,29.85,8.98,6.15,3.2
2805604,Porto da Folha,SE,0.462,0.537,226.66,0.56,53.99,31.51,8.11,8.23,3.2
2805703,Propriá,SE,0.593,0.629,400.35,0.54,31.99,18.68,8.98,10.95,2.6
2805802,Riachão do Dantas,SE,0.381,0.527,212.37,0.48,50.24,29.23,8.29,2.69,3.2
2805901,Riachuelo,SE,0.52,0.591,317.28,0.5,33.94,17.01,8.05,19.68,3.2
2806008,Ribeirópolis,SE,0.49,0.61,357.17,0.45,24.36,2.85,8.98,5.79,3.2
2806107,Rosário do Catete,SE,0.571,0.603,341.06,0.5,31.42,14.14,9.24,16.93,3.4
2806206,Salgado,SE,0.486,0.588,311.33,0.51,36.46,27.47,8.83,7.66,2.8
2806404,Santana do São Francisco,SE,0.526,0.544,236.25,0.48,43.24,21.02,9.62,9.74,3.1
2806503,Santa Rosa de Lima,SE,0.514,0.527,213.07,0.45,42.37,27.17,7.95,10.17,3.1
2806602,Santo Amaro das Brotas,SE,0.543,0.613,362.46,0.57,36.16,18.89,8.45,29.16,2.9
2806701,São Cristóvão,SE,0.581,0.624,388.36,0.47,22.97,1.28,9.13,13.6,2.7
2806800,São Domingos,SE,0.471,0.572,281.44,0.41,28.01,33.36,9.06,4.88,3
2806909,São Francisco,SE,0.49,0.564,26.73,0.48,39,26.72,8.37,8.92,3.7
2807006,São Miguel do Aleixo,SE,0.424,0.571,279.25,0.49,36.47,33.54,8.9,3.42,3.3
2807105,Simão Dias,SE,0.492,0.579,293.99,0.49,35.11,26.78,8.95,11.32,2.7
2807204,Siriri,SE,0.541,0.565,268.51,0.47,38.16,20.69,9.51,14.85,2.4
2807303,Telha,SE,0.542,0.564,268.17,0.48,37.53,27.33,9.43,10.57,3
2807402,Tobias Barreto,SE,0.404,0.609,353.87,0.55,34.71,28.34,8.07,7.09,2.8
2807501,Tomar do Geru,SE,0.432,0.52,203.09,0.47,51.11,32.08,8.38,6.85,2.5
2807600,Umbaúba,SE,0.476,0.567,272.53,0.46,35.98,24.73,9.15,6,2.6
2900108,Abaíra,BA,0.51,0.577,290.53,0.46,31.74,19.45,9.6,8.61,3.7
2900207,Abaré,BA,0.46,0.533,220.16,0.55,47.77,26.85,7.33,15.56,3.3
2900306,Acajutiba,BA,0.487,0.56,260.46,0.57,48.78,22.31,8.28,7.87,2.8
2900355,Adustina,BA,0.432,0.526,211.37,0.54,49.98,35.53,8.56,7.35,2.6
2900405,Água Fria,BA,0.422,0.529,215.12,0.53,50.3,27.26,7.56,8.14,3
2900504,Érico Cardoso,BA,0.471,0.558,258.28,0.49,36.75,30.27,8.68,3.83,3.6
2900603,Aiquara,BA,0.471,0.573,283.24,0.44,27.11,23.76,8.55,10.88,3
2900702,Alagoinhas,BA,0.592,0.681,553.17,0.55,19.42,10.11,8.71,13.61,2.8
2900801,Alcobaça,BA,0.476,0.611,357.99,0.53,32.69,23.59,8.1,9.5,3
2900900,Almadina,BA,0.421,0.563,265.39,0.46,38.08,31.82,8.85,15.19,3.1
2901007,Amargosa,BA,0.492,0.616,369.84,0.56,33.42,20.85,8.69,11.75,2.8
2901106,Amélia Rodrigues,BA,0.6,0.609,354.66,0.49,28.19,13.22,9.84,16.98,3.3
2901155,América Dourada,BA,0.464,0.506,18.61,0.5,52.57,27.53,8.41,22.08,3.6
2901205,Anagé,BA,0.371,0.549,243.52,0.48,39.06,33.89,7.26,6.62,3
2901304,Andaraí,BA,0.415,0.54,230.36,0.59,53.89,26.56,7.42,18.57,3.5
2901353,Andorinha,BA,0.474,0.586,305.81,0.55,39.45,25.71,8.89,5.66,2.8
2901403,Angical,BA,0.556,0.564,266.89,0.54,41.72,24.54,9.31,6.66,3.3
2901502,Anguera,BA,0.471,0.565,2.69,0.48,38.32,2.27,9.25,14.05,3.5
2901601,Antas,BA,0.491,0.573,283.59,0.52,38.43,28.33,8.55,12.64,2.9
2901700,Antônio Cardoso,BA,0.422,0.544,236.86,0.46,37.58,29.07,8.06,4.52,2.5
2901809,Antônio Gonçalves,BA,0.498,0.58,29.57,0.51,35.74,19.72,8.32,6.32,3.4
2901908,Aporá,BA,0.425,0.516,199.04,0.56,55.3,27.81,7.66,4.02,2.8
2901957,Apuarema,BA,0.413,0.555,25.23,0.46,39.49,31.03,8.11,12.99,2.2
2902005,Aracatu,BA,0.439,0.591,31.66,0.45,28.51,29.35,8.87,4.44,3.6
2902054,Araças,BA,0.462,0.54,230.75,0.53,45.82,23.15,7.92,13.91,3.1
